ilce;hesap_sinifi;aykiri_kayit_sayisi;toplam_aykiri_kwh;ortalama_aykiri_kwh;medyan_aykiri_kwh;maksimum_aykiri_kwh
GÜMÜŞHACIKÖY;Mesken;14991;3636539,81;242,58153625508638;205,04;3208,08
GÜMÜŞHACIKÖY;Ticari Faaliyet - Yazıhane;7229;7552977,64;1044,8163840088532;500,87;60449,14
GÖYNÜCEK;Mesken;6959;1898662,54;272,8355424629976;190,38;14940,93
HAMAMÖZÜ;Mesken;2896;588308,15;203,1450794198895;175,28500000000003;2596,59
GÖYNÜCEK;Ticari Faaliyet - Yazıhane;2421;2166014,17;894,6774762494837;597,52;6304,56
GÜMÜŞHACIKÖY;Tarımsal Faaliyetler (Şahıs);1614;6742755,89;4177,667837670384;282,72;69307,54
HAMAMÖZÜ;Ticari Faaliyet - Yazıhane;907;1206570,25;1330,2869349503858;603,67;21528,36
GÜMÜŞHACIKÖY;1 SAYILI CETVELDE YER ALAN KAMU İDARESİ;713;4062770,04;5698,134698457223;1565,04;76153,92
GÜMÜŞHACIKÖY;Şantiye ve Geçici Aboneler;436;366588,8;840,8;309,41;17236,04
GÖYNÜCEK;Tarımsal Faaliyetler (Şahıs);378;2161311,02;5717,754021164022;1904,81;45289,93
GÜMÜŞHACIKÖY;İbadethane Isıtma/Soğutma/Lojman;333;123000,15;369,3698198198198;290,1;1964,59
GÖYNÜCEK;1 SAYILI CETVELDE YER ALAN KAMU İDARESİ;327;676846,63;2069,8673700305812;1191,71;8515,08
GÜMÜŞHACIKÖY;Bina Ort Kul (Asn,Hidr,Kapıcı Dai vb.);271;30866,45;113,89833948339484;104,42;466,8
GÖYNÜCEK;İbadethane Isıtma/Soğutma/Lojman;243;112588,05;463,3253086419753;386,5;1633,36
HAMAMÖZÜ;1 SAYILI CETVELDE YER ALAN KAMU İDARESİ;240;630525,89;2627,191208333333;1447,975;25941,6
GÜMÜŞHACIKÖY;Tarımsal Faaliyetler (Kooperatif);166;3021381,04;18201,09060240964;14692,075;66992,87
GÖYNÜCEK;Tarımsal Faaliyetler (Kooperatif);148;2644145,21;17865,846013513514;11507,02;105687,69
GÖYNÜCEK;Köy İçme Suyu Temini ve Dağıtımı Tesisi;146;480538,38;3291,3587671232876;3034,245;7208,6
GÜMÜŞHACIKÖY;İbadethane Aydınlatma;129;36533,02;283,20170542635657;127,94;2449,53
GÜMÜŞHACIKÖY;Köy İçme Suyu Temini ve Dağıtımı Tesisi;113;435271,01;3851,955840707965;3242,82;12250,74
GÖYNÜCEK;Şantiye ve Geçici Aboneler;111;148870,31;1341,1739639639638;680,1;8694,99
GÖYNÜCEK;Belediye;109;116367,17;1067,5887155963303;584,12;3552,94
GÖYNÜCEK;Büyükbaş-Küçükbaş Hayvancılık;105;155071,31;1476,869619047619;1514,01;4100,15
GÜMÜŞHACIKÖY;Belediye;102;879863,27;8626,110490196079;1563,875;50741,28
GÜMÜŞHACIKÖY;Resmi Daire;81;398057,7;4914,292592592593;3841,22;19848,0
HAMAMÖZÜ;İbadethane Isıtma/Soğutma/Lojman;69;22510,54;326,2397101449275;281,55;767,03
GÜMÜŞHACIKÖY;İçme-Kullanma Suyu (Belediye);69;1278860,17;18534,20536231884;15778,44;37104,28
