sozlesme_hesap_no;toplam_tuketim_kwh;ortalama_tuketim_kwh;medyan_tuketim_kwh;standart_sapma_kwh;minimum_tuketim_kwh;maksimum_tuketim_kwh;fatura_kayit_sayisi;ilce;hesap_sinifi;aktif_donem_sayisi;ilk_donem;son_donem;toplam_tuketim_yuzdelik;tuketim_segmenti
6414845714;2634973,74;44660,57186440678;0,0;51696,642144194244;0,0;153575,73;59;GÜMÜŞHACIKÖY;Lisansız Üreticiler;29;2023-03-01;2025-07-01;100,0;En yüksek %5
7553584057;1636590,3;45460,84166666667;51522,3;23883,337417232065;0,0;76153,92;36;GÜMÜŞHACIKÖY;1 SAYILI CETVELDE YER ALAN KAMU İDARESİ;31;2023-01-01;2025-07-01;99,99646518204312;En yüksek %5
8398443615;1238340,68;30203,431219512193;36810,9;16963,572539472512;0,0;52719,98;41;GÜMÜŞHACIKÖY;Karayolları Genel Müdürlüğü Aydınlatma;31;2023-01-01;2025-07-01;99,99293036408625;En yüksek %5
4777252213;857108,7;17492,014285714286;25240,32;13575,942441136454;0,0;31561,74;49;GÜMÜŞHACIKÖY;1 SAYILI CETVELDE YER ALAN KAMU İDARESİ;31;2023-01-01;2025-07-01;99,98939554612937;En yüksek %5
3798287663;782153,22;14757,607924528302;17889,76;15341,519515878543;-25370,64;50741,28;53;GÜMÜŞHACIKÖY;Belediye;31;2023-01-01;2025-07-01;99,9858607281725;En yüksek %5
16419436;776755,31;18945,251463414636;17031,58;15161,858912777741;0,0;60449,14;41;GÜMÜŞHACIKÖY;Ticari Faaliyet - Yazıhane;31;2023-01-01;2025-07-01;99,98232591021562;En yüksek %5
4831215580;771460,44;15126,675294117646;15694,56;13697,700928684104;0,0;37104,28;51;GÜMÜŞHACIKÖY;İçme-Kullanma Suyu (Belediye);31;2023-01-01;2025-07-01;99,97879109225875;En yüksek %5
5515560446;566836,64;15319,90918918919;14603,6;12553,687541785033;0,0;39479,28;37;GÖYNÜCEK;İçme-Kullanma Suyu (Belediye);31;2023-01-01;2025-07-01;99,97525627430187;En yüksek %5
6954808809;504251,61;8846,51947368421;380,64;16950,71971139083;0,0;69307,54;57;GÜMÜŞHACIKÖY;Tarımsal Faaliyetler (Şahıs);31;2023-01-01;2025-07-01;99,971721456345;En yüksek %5
5890799009;477336,42;14464,74;580,32;27110,2841139027;0,0;105687,69;33;GÖYNÜCEK;Tarımsal Faaliyetler (Kooperatif);25;2023-01-01;2025-01-01;99,96818663838812;En yüksek %5
4429981104;458395,92;16977,626666666667;20949,77;12985,915970804974;218,78;34510,46;27;GÜMÜŞHACIKÖY;Aritma Tesisleri;20;2023-02-01;2024-09-01;99,96465182043124;En yüksek %5
8449517062;443369,5;8867,39;6215,74;8673,740497700926;0,0;25005,65;50;GÜMÜŞHACIKÖY;Resmi SAĞLIK KURULUŞLARI,RESMİ SPOR TES.;31;2023-01-01;2025-07-01;99,96111700247438;En yüksek %5
1821940530;396870,44;12802,272258064517;567,0;20965,675176460325;0,0;63290,44;31;GÜMÜŞHACIKÖY;Tarımsal Faaliyetler (Şahıs);31;2023-01-01;2025-07-01;99,9575821845175;En yüksek %5
5441591706;393258,72;10348,913684210525;10725,9;5946,510996142655;0,0;20821,92;38;GÜMÜŞHACIKÖY;1 SAYILI CETVELDE YER ALAN KAMU İDARESİ;31;2023-01-01;2025-07-01;99,95404736656062;En yüksek %5
232229978;380181,27;11880,6646875;800,725;18777,82081013009;0,0;55041,23;32;GÜMÜŞHACIKÖY;Tarımsal Faaliyetler (Şahıs);31;2023-01-01;2025-07-01;99,95051254860374;En yüksek %5
4452231158;369307,04;9981,27135135135;11193,75;5143,872735711966;0,0;18180,55;37;HAMAMÖZÜ;Sanayi;31;2023-01-01;2025-07-01;99,94697773064686;En yüksek %5
8306730508;364841,48;11401,29625;532,78;19212,73844843265;0,0;63034,56;32;GÜMÜŞHACIKÖY;Tarımsal Faaliyetler (Şahıs);31;2023-01-01;2025-07-01;99,94344291268999;En yüksek %5
1002661092;348655,44;7923,987272727273;2205,48;9509,24079208644;0,0;26483,28;44;GÖYNÜCEK;Sanayi;31;2023-01-01;2025-07-01;99,93990809473313;En yüksek %5
