hesap_sinifi;kayit_sayisi;gecerli_kwh_sayisi;toplam_kwh;ortalama_kwh;medyan_kwh;standart_sapma_kwh;minimum_kwh;maksimum_kwh;benzersiz_musteri
Mesken;1026609;1026609;57069204,28;55,59000971158445;47,36;73,9029309930394;-2836,64;14940,93;24450
Ticari Faaliyet - Yazıhane;91298;91298;15322356,45;167,82795296720627;41,6;781,762054163193;-3861,2;60449,14;2146
Tarımsal Faaliyetler (Şahıs);17266;17266;9351411,48;541,6084489748639;16,15;3627,95961901903;-9069,13;69307,54;437
Tarımsal Faaliyetler (Kooperatif);1632;1632;6167802,15;3779,2905330882354;282,72;9426,941320633778;-12574,78;105687,69;56
1 SAYILI CETVELDE YER ALAN KAMU İDARESİ;8500;8500;5851753,58;688,4415976470589;23,86;3911,9129740068583;0,0;76153,92;249
Lisansız Üreticiler;180;180;2907945,8;16155,254444444443;322,32000000000005;35926,42490174565;0,0;153575,73;7
İçme-Kullanma Suyu (Belediye);417;417;2174033,37;5213,50928057554;400,02;8948,065838623575;0,0;39479,28;10
Köy İçme Suyu Temini ve Dağıtımı Tesisi;2460;2460;1665260,85;676,9353048780488;208,655;1212,3345799847118;0,0;12250,74;70
Sanayi;187;187;1363940,53;7293,799625668449;1531,68;13716,343807092228;0,0;109546,29;10
Belediye;2097;2097;1259418,85;600,5812350977587;78,27;3350,9789764700436;-25370,64;50741,28;53
Karayolları Genel Müdürlüğü Aydınlatma;41;41;1238340,68;30203,431219512193;36810,9;16963,572539472512;0,0;52719,98;1
Şantiye ve Geçici Aboneler;6706;6706;918406,02;136,95288100208768;28,42;798,4955782218466;-298,82;19240,88;177
İbadethane Isıtma/Soğutma/Lojman;10173;10173;826897,17;81,2835122382778;56,14;111,16464836037302;0,0;1964,59;254
Resmi Daire;1373;1373;796135,37;579,8509613983977;150,83;1693,27371548028;-1484,13;19848,0;65
Aritma Tesisleri;35;35;580796,12;16594,174857142858;16186,91;11656,705924091473;218,78;34510,46;2
Resmi SAĞLIK KURULUŞLARI,RESMİ SPOR TES.;442;442;510394,69;1154,7391176470587;239,905;3804,865088041278;0,0;25005,65;11
Süt Toplama Merkezi;1128;1128;485759,44;430,6378014184397;187,405;1131,9915299816807;-1269,59;11072,11;28
Resmi Üniversite,Yük.Okul,Kurs,Yurt,Okul;476;476;420731,04;883,8887394957983;285,40999999999997;1435,311535534208;0,0;6306,48;60
Şehit Aileleri ve Gaziler;2671;2671;232470,99;87,03518906776488;76,54;56,59968146996678;0,0;443,89;49
Büyükbaş-Küçükbaş Hayvancılık;1849;1849;216051,99;116,84802055164954;24,11;408,54966355087083;0,0;4100,15;57
Bina Ort Kul (Asn,Hidr,Kapıcı Dai vb.);3505;3505;105029,65;29,965663338088444;15,76;41,33139536240613;0,0;466,8;145
İbadethane Aydınlatma;3189;3189;103436,02;32,435252430228914;13,94;112,22549001540409;0,0;2449,53;142
Resmi Daire Lojman;614;614;57164,16;93,1012377850163;29,585;141,69897545543915;0,0;851,57;33
İktisadi İşletmeleri Hariç Dernek ve Vkf;279;279;51192,56;183,4858781362007;89,76;205,34083301188267;0,0;1157,51;11
Lisansız Üreticiler - Resmi Daire;36;36;43021,85;1195,0513888888888;770,625;1229,579482803898;0,0;3849,79;1
İç Tüketim;124;124;33522,16;270,34000000000003;228,68;148,80934454660513;100,69;847,76;2
Ölçümsüz Aboneler (Resmi Daire);46;46;18177,38;395,1604347826087;74,4;595,389082917704;67,2;1990,94;4
Muhtarlık Hizmet Binaları;383;383;13132,98;34,289765013054826;9,14;60,02035624317137;0,0;459,46;18
Belediye Park Bahçe Aydınlatma;349;349;11150,9;31,95100286532951;18,39;38,47244945535467;0,0;409,41;7
Kar Amacı Güden Dernek,Vakıf,Müze;243;243;10638,68;43,78057613168724;13,52;74,3135724597655;0,0;633,72;5
Balıkçılık ve Su Ürünleri Yetiştiriciliğ;124;124;10584,43;85,3583064516129;79,375;42,12006595015208;20,81;330,98;2
Cemevleri;916;916;9813,8;10,713755458515283;5,625;16,453957966591613;0,0;236,49;33
Doğal Afet Barınma;116;116;8539,45;73,61594827586208;73,86500000000001;39,06690733418978;0,0;151,0;3
Diyanet Kuran Kursu;42;42;7019,669999999999;167,135;22,115;526,3542744024288;0,0;2628,41;8
Resmi Hayır Kurumları,Dernek,Vakıf,Müze;169;169;3886,57;22,997455621301775;8,82;42,49672525240124;0,0;310,51;9
Resmi İbadethane Isıtma/Soğutma/Lojman;7;7;63,68;9,097142857142858;5,0;9,3462465091353;2,43;25,83;1
Şantiye ve Geçici Aboneler (Belediye);16;16;31,19;1,949375;0,095;3,1383062709047373;0,0;9,0;1
