ilce;hesap_sinifi;negatif_kayit_sayisi;toplam_negatif_kwh;ortalama_negatif_kwh;minimum_kwh
GÜMÜŞHACIKÖY;Mesken;79;-22018,98;-278,7212658227848;-1686,44
GÖYNÜCEK;Mesken;23;-5125,96;-222,8678260869565;-2836,64
GÜMÜŞHACIKÖY;Ticari Faaliyet - Yazıhane;13;-15103,84;-1161,8338461538463;-3861,2
GÖYNÜCEK;Tarımsal Faaliyetler (Kooperatif);10;-6775,72;-677,572;-4208,64
GÜMÜŞHACIKÖY;Tarımsal Faaliyetler (Kooperatif);6;-14737,68;-2456,28;-12574,78
GÜMÜŞHACIKÖY;Tarımsal Faaliyetler (Şahıs);6;-16382,199999999999;-2730,3666666666663;-9069,13
GÖYNÜCEK;Tarımsal Faaliyetler (Şahıs);4;-494,88;-123,72;-278,16
HAMAMÖZÜ;Mesken;4;-1978,41;-494,6025;-1242,99
GÖYNÜCEK;Resmi Daire;2;-2556,0;-1278,0;-1484,13
GÜMÜŞHACIKÖY;Şantiye ve Geçici Aboneler;2;-479,82;-239,91;-298,82
GÖYNÜCEK;Süt Toplama Merkezi;1;-1269,59;-1269,59;-1269,59
GÜMÜŞHACIKÖY;Belediye;1;-25370,64;-25370,64;-25370,64
