il;ilce;sozlesme_hesap_no;mali_yil_donem;fatura_tarihi;kayit_tarihi;vade_tarihi;hesap_sinifi_kodu;hesap_sinifi;kwh;ilce_kaynak
AMASYA;HAMAMÖZÜ;7904741733;2025-03-01;2025-04-14;2025-06-10;2025-04-22;M001;Mesken;-1242,99;Hamamözü
AMASYA;HAMAMÖZÜ;7904741733;2025-04-01;2025-04-14;2025-06-10;2025-04-22;M001;Mesken;-733,04;Hamamözü
AMASYA;HAMAMÖZÜ;469034964;2023-10-01;2023-10-11;2023-11-28;2023-10-23;M001;Mesken;-1,04;Hamamözü
AMASYA;HAMAMÖZÜ;7722066065;2023-10-01;2023-10-23;2023-11-28;2023-11-02;M001;Mesken;-1,34;Hamamözü
AMASYA;GÜMÜŞHACIKÖY;2945215788;2024-02-01;2024-04-15;2024-06-15;2024-03-25;M001;Mesken;-374,09;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;2945215788;2024-03-01;2024-04-15;2024-06-15;2024-03-25;M001;Mesken;-294,25;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;3066487951;2023-01-01;2024-06-13;2024-08-26;2023-01-30;M001;Mesken;-15,48;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;3066487951;2023-01-01;2024-06-13;2024-08-26;2023-02-27;M001;Mesken;-9,52;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;3066487951;2023-02-01;2024-06-13;2024-08-26;2023-02-27;M001;Mesken;-13,48;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;6095948483;2023-01-01;2025-10-01;2025-10-08;2024-08-15;M001;Mesken;-226,19;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;6095948483;2023-02-01;2025-10-01;2025-10-08;2024-08-15;M001;Mesken;-204,3;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;6095948483;2023-03-01;2025-10-01;2025-10-08;2024-08-15;M001;Mesken;-226,19;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;6095948483;2023-04-01;2025-10-01;2025-10-08;2024-08-15;M001;Mesken;-218,9;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;6095948483;2023-05-01;2025-10-01;2025-10-08;2024-08-15;M001;Mesken;-226,19;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;6095948483;2023-06-01;2025-10-01;2025-10-08;2024-08-15;M001;Mesken;-218,9;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;6095948483;2023-07-01;2025-10-01;2025-10-08;2024-08-15;M001;Mesken;-226,19;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;6095948483;2023-08-01;2025-10-01;2025-10-08;2024-08-15;M001;Mesken;-226,19;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;6095948483;2023-09-01;2025-10-01;2025-10-08;2024-08-15;M001;Mesken;-218,9;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;6095948483;2023-10-01;2025-10-01;2025-10-08;2024-08-15;M001;Mesken;-226,19;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;6095948483;2023-11-01;2025-10-01;2025-10-08;2024-08-15;M001;Mesken;-218,9;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;6095948483;2023-12-01;2025-10-01;2025-10-08;2024-08-15;M001;Mesken;-226,19;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;6095948483;2024-01-01;2025-10-01;2025-10-08;2024-08-15;M001;Mesken;-226,19;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;6095948483;2024-02-01;2025-10-01;2025-10-08;2024-08-15;M001;Mesken;-211,6;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;6095948483;2024-03-01;2025-10-01;2025-10-08;2024-08-15;M001;Mesken;-226,19;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;6095948483;2024-04-01;2025-10-01;2025-10-08;2024-08-15;M001;Mesken;-218,9;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;6095948483;2024-05-01;2025-10-01;2025-10-08;2024-08-15;M001;Mesken;-226,19;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;6095948483;2024-06-01;2025-10-01;2025-10-08;2024-08-15;M001;Mesken;-218,9;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;6095948483;2024-07-01;2025-10-01;2025-10-08;2024-08-15;M001;Mesken;-222,66;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;6095948483;2024-08-01;2025-10-01;2025-10-08;2024-08-15;M001;Mesken;-7,18;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;8839148300;2024-10-01;2024-11-26;2025-01-08;2024-12-06;M001;Mesken;-266,13;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;9081386118;2023-01-01;2023-11-21;2023-12-22;2023-10-06;M001;Mesken;-143,14;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;9081386118;2023-02-01;2023-11-21;2023-12-22;2023-10-06;M001;Mesken;-129,28;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;9081386118;2023-03-01;2023-11-21;2023-12-22;2023-10-06;M001;Mesken;-143,14;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;9081386118;2023-04-01;2023-11-21;2023-12-22;2023-10-06;M001;Mesken;-138,52;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;9081386118;2023-05-01;2023-11-21;2023-12-22;2023-10-06;M001;Mesken;-143,14;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;9081386118;2023-06-01;2023-11-21;2023-12-22;2023-10-06;M001;Mesken;-138,52;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;9081386118;2023-07-01;2023-11-21;2023-12-22;2023-10-06;M001;Mesken;-140,64;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;9081386118;2023-08-01;2023-11-21;2023-12-22;2023-10-06;M001;Mesken;-140,64;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;9081386118;2023-09-01;2023-11-21;2023-12-22;2023-10-06;M001;Mesken;-108,88;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;7451491145;2024-06-01;2024-12-26;2025-02-10;2024-11-11;M001;Mesken;-0,72;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;7451491145;2024-07-01;2024-12-26;2025-02-10;2024-11-11;M001;Mesken;-1,95;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;7451491145;2024-08-01;2024-12-26;2025-02-10;2024-11-11;M001;Mesken;-0,44;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;7451491145;2024-10-01;2024-12-26;2025-02-10;2024-11-11;M001;Mesken;-1098,85;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;2593112124;2024-06-01;2024-08-31;2024-10-08;2024-09-10;M001;Mesken;-96,89;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;2593112124;2024-07-01;2024-08-31;2024-10-08;2024-09-10;M001;Mesken;-166,87;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;2593112124;2024-08-01;2024-08-31;2024-10-08;2024-09-10;M001;Mesken;-96,89;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;4587567886;2023-01-01;2023-07-24;2023-09-07;2023-08-03;M001;Mesken;-0,01;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;4587567886;2023-02-01;2023-07-24;2023-09-07;2023-08-03;M001;Mesken;-0,01;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;7964388008;2023-07-01;2023-09-28;2023-10-31;2023-10-09;M001;Mesken;-0,01;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;7964388008;2023-08-01;2023-09-28;2023-10-31;2023-10-09;M001;Mesken;-0,01;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;7964388008;2023-09-01;2023-09-28;2023-10-31;2023-10-09;M001;Mesken;-0,01;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;9902149740;2025-03-01;2025-06-18;2025-08-11;2025-06-30;M001;Mesken;-84,84;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;9902149740;2025-04-01;2025-06-18;2025-08-11;2025-06-30;M001;Mesken;-195,78;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;9902149740;2025-05-01;2025-06-18;2025-08-11;2025-06-30;M001;Mesken;-169,67;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;5827406118;2023-10-01;2023-10-06;2023-11-28;2023-10-16;M001;Mesken;-0,07;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;7754717585;2023-04-01;2023-04-11;2023-05-24;2023-04-24;M001;Mesken;-1,86;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;3971569485;2024-07-01;2024-09-10;2024-12-09;2024-09-10;TA01;Tarımsal Faaliyetler (Şahıs);-112,32;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;3971569485;2024-08-01;2024-09-10;2024-12-09;2024-09-10;TA01;Tarımsal Faaliyetler (Şahıs);-6851,44;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;6199137693;2024-07-01;2024-09-10;2024-12-09;2024-09-10;TA01;Tarımsal Faaliyetler (Şahıs);-148,67;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;6199137693;2024-08-01;2024-09-10;2024-12-09;2024-09-10;TA01;Tarımsal Faaliyetler (Şahıs);-9069,13;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;9704657776;2023-02-01;2023-05-05;2023-06-19;2023-04-10;TA01;Tarımsal Faaliyetler (Şahıs);-191,52;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;9704657776;2023-03-01;2023-05-05;2023-06-19;2023-04-10;TA01;Tarımsal Faaliyetler (Şahıs);-9,12;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;905763434;2023-04-01;2024-04-18;2024-06-15;2024-04-29;M001;Mesken;-870,42;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;905763434;2023-05-01;2024-04-18;2024-06-15;2024-04-29;M001;Mesken;-1686,44;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;905763434;2023-06-01;2024-04-18;2024-06-15;2024-04-29;M001;Mesken;-1632,03;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;905763434;2023-07-01;2024-04-18;2024-06-15;2024-04-29;M001;Mesken;-1686,44;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;905763434;2023-08-01;2024-04-18;2024-06-15;2024-04-29;M001;Mesken;-1686,44;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;905763434;2023-09-01;2024-04-18;2024-06-15;2024-04-29;M001;Mesken;-1632,03;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;905763434;2023-10-01;2024-04-18;2024-06-15;2024-04-29;M001;Mesken;-489,61;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;2966849496;2023-01-01;2023-07-13;2023-09-07;2023-01-23;M001;Mesken;-124,89;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;7603449155;2023-07-01;2023-07-12;2023-09-07;2023-07-24;T001;Ticari Faaliyet - Yazıhane;-0,08;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;1188807710;2024-01-01;2024-02-15;2024-04-08;2024-02-26;M001;Mesken;-110,07;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;7859338325;2024-03-01;2024-05-15;2024-07-13;2024-04-25;M001;Mesken;-127,46;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;7859338325;2024-04-01;2024-05-15;2024-07-13;2024-04-25;M001;Mesken;-103,31;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;5057290773;2023-12-01;2024-01-18;2024-03-08;2024-01-29;M001;Mesken;-15,76;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;6359767988;2024-10-01;2024-12-16;2025-02-10;2024-12-10;TA02;Tarımsal Faaliyetler (Kooperatif);-9,36;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;6359767988;2024-11-01;2024-12-16;2025-02-10;2024-12-10;TA02;Tarımsal Faaliyetler (Kooperatif);-552,4;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;5248203481;2023-11-01;2023-12-15;2024-02-07;2023-12-11;TA02;Tarımsal Faaliyetler (Kooperatif);-561,6;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;5248203481;2024-11-01;2024-12-16;2025-02-10;2024-12-10;TA02;Tarımsal Faaliyetler (Kooperatif);-833,4;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;5966038883;2023-07-01;2023-09-19;2023-10-31;2023-09-11;TA02;Tarımsal Faaliyetler (Kooperatif);-206,14;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;5966038883;2023-08-01;2023-09-19;2023-10-31;2023-09-11;TA02;Tarımsal Faaliyetler (Kooperatif);-12574,78;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;3798287663;2025-04-01;2025-05-06;2025-07-09;2025-05-15;4;Belediye;-25370,64;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;5108723651;2024-12-01;2025-02-19;2025-04-10;2025-02-10;T001;Ticari Faaliyet - Yazıhane;-6,28;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;5108723651;2025-01-01;2025-02-19;2025-04-10;2025-02-10;T001;Ticari Faaliyet - Yazıhane;-383,0;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;9953326179;2024-08-01;2024-12-11;2025-02-10;2024-11-11;T001;Ticari Faaliyet - Yazıhane;-0,25;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;9953326179;2024-09-01;2024-12-11;2025-02-10;2024-11-11;T001;Ticari Faaliyet - Yazıhane;-0,66;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;9953326179;2024-10-01;2024-12-11;2025-02-10;2024-11-11;T001;Ticari Faaliyet - Yazıhane;-1981,66;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;5828313585;2023-01-01;2023-08-29;2024-01-03;2023-08-10;M001;Mesken;-374,15;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;5828313585;2023-02-01;2023-08-29;2024-01-03;2023-08-10;M001;Mesken;-337,94;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;5828313585;2023-03-01;2023-08-29;2024-01-03;2023-08-10;M001;Mesken;-374,15;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;5828313585;2023-04-01;2023-08-29;2024-01-03;2023-08-10;M001;Mesken;-362,08;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;5828313585;2023-05-01;2023-08-29;2024-01-03;2023-08-10;M001;Mesken;-374,15;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;5828313585;2023-06-01;2023-08-29;2024-01-03;2023-08-10;M001;Mesken;-362,08;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;5828313585;2023-07-01;2023-08-29;2024-01-03;2023-08-10;M001;Mesken;-374,15;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;2494350978;2023-05-01;2023-07-25;2023-09-07;2023-08-04;M001;Mesken;-59,43;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;2494350978;2023-06-01;2023-07-25;2023-09-07;2023-08-04;M001;Mesken;-43,22;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;8748127717;2024-09-01;2025-03-20;2025-05-09;2024-10-30;T002;Şantiye ve Geçici Aboneler;-181,0;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;8748127717;2024-10-01;2025-03-20;2025-05-09;2024-10-30;T002;Şantiye ve Geçici Aboneler;-298,82;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;9956417489;2023-08-01;2024-02-21;2024-04-08;2024-01-30;M001;Mesken;-0,6;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;9956417489;2023-09-01;2024-02-21;2024-04-08;2024-01-30;M001;Mesken;-0,08;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;9956417489;2023-12-01;2024-02-21;2024-04-08;2024-01-30;M001;Mesken;-270,22;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;9956417489;2024-01-01;2024-02-21;2024-04-08;2024-01-30;M001;Mesken;-432,08;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;6887434746;2024-07-01;2024-08-15;2024-10-08;2024-08-01;M001;Mesken;-152,87;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;1822905563;2024-07-01;2024-11-28;2025-01-08;2024-09-02;T001;Ticari Faaliyet - Yazıhane;-334,65;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;1822905563;2024-08-01;2024-11-28;2025-01-08;2024-09-02;T001;Ticari Faaliyet - Yazıhane;-739,1;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;1822905563;2024-08-01;2024-11-28;2025-01-08;2024-09-30;T001;Ticari Faaliyet - Yazıhane;-1216,65;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;1822905563;2024-09-01;2024-11-28;2025-01-08;2024-09-30;T001;Ticari Faaliyet - Yazıhane;-2315,57;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;1822905563;2024-09-01;2024-11-28;2025-01-08;2024-10-31;T001;Ticari Faaliyet - Yazıhane;-1932,11;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;1822905563;2024-10-01;2024-11-28;2025-01-08;2024-10-31;T001;Ticari Faaliyet - Yazıhane;-3861,2;Gümüşhacıköy
AMASYA;GÜMÜŞHACIKÖY;1822905563;2024-10-01;2024-11-28;2025-01-08;2024-11-11;T001;Ticari Faaliyet - Yazıhane;-2332,63;Gümüşhacıköy
