hesap_sinifi;Toplam_kWh;Ortalama_kWh;Fatura_Sayisi
M001;57098327,63;55,624121536907346;1026503
T001;15337460,29;168,0173116065071;91285
TA01;9368288,56;542,9003569772833;17256
TA02;6189315,55;3830,021998762376;1616
T019;5851753,58;688,4415976470589;8500
6;2907945,8;16155,254444444443;180
T012;2174033,37;5213,50928057554;417
T013;1665260,85;676,9353048780488;2460
S001;1363940,53;7293,799625668449;187
4;1284789,49;612,9720849236642;2096
A002;1238340,68;30203,431219512193;41
T002;918885,84;137,06531026252983;6704
M002;826897,17;81,2835122382778;10173
3;798691,37;582,5611743253099;1371
1;580796,12;16594,174857142858;35
T009;510394,69;1154,7391176470587;442
TA03;487029,03;432,1464330079858;1127
T008;420731,04;883,8887394957983;476
SE01;232470,99;87,03518906776488;2671
TA04;216051,99;116,84802055164954;1849
T021;105029,65;29,965663338088444;3505
A001;103436,02;32,435252430228914;3189
M003;57164,16;93,1012377850163;614
T020;51192,56;183,4858781362007;279
7;43021,85;1195,0513888888888;36
T005;33522,16;270,34000000000003;124
T017;18177,38;395,1604347826087;46
M006;13132,98;34,289765013054826;383
A003;11150,9;31,95100286532951;349
T006;10638,68;43,78057613168724;243
T010;10584,43;85,3583064516129;124
M004;9813,8;10,713755458515283;916
M007;8539,45;73,61594827586208;116
M009;7019,669999999999;167,135;42
T007;3886,57;22,997455621301775;169
M008;63,68;9,097142857142858;7
T003;31,19;1,949375;16
