ilce;ay;ortalama_kwh;medyan_kwh;toplam_kwh;kayit_sayisi
GÖYNÜCEK;1;87,27259936908517;44,67;1798251,91;20605
GÖYNÜCEK;2;76,64106739693955;41,144999999999996;1833101,05;23918
GÖYNÜCEK;3;75,83459942201172;40,32;1889343,21;24914
GÖYNÜCEK;4;80,52721195317314;41,585;2352521,97;29214
GÖYNÜCEK;5;71,40130923667493;42,39;2101840,34;29437
GÖYNÜCEK;6;103,05957289710703;41,38;3238234,84;31421
GÖYNÜCEK;7;128,4915979254895;52,355000000000004;4187027,21;32586
GÖYNÜCEK;8;112,56680833657967;53,89;2889589,97;25670
GÖYNÜCEK;9;93,46767092882992;51,83;1937117,48;20725
GÖYNÜCEK;10;76,99658501594048;48,08;1449075,73;18820
GÖYNÜCEK;11;80,8655952706771;47,27;1477333,56;18269
GÖYNÜCEK;12;68,11870383595185;35,535;1335399,07;19604
GÜMÜŞHACIKÖY;1;110,81157306474185;60,27;6017954,91;54308
GÜMÜŞHACIKÖY;2;96,16225651359842;53,09;6060337,7299999995;63022
GÜMÜŞHACIKÖY;3;91,58269254977816;49,28;5965605,01;65139
GÜMÜŞHACIKÖY;4;98,63778004589416;51,86;7006537,43;71033
GÜMÜŞHACIKÖY;5;83,39706356170842;46,26;6367449,2;76351
GÜMÜŞHACIKÖY;6;97,72417650972172;41,74;7785391,97;79667
GÜMÜŞHACIKÖY;7;130,03864845853445;46,89;10722206,72;82454
GÜMÜŞHACIKÖY;8;95,60584183673468;44,73;6670993,22;69776
GÜMÜŞHACIKÖY;9;90,48482987674367;48,61;4903915,84;54196
GÜMÜŞHACIKÖY;10;83,77583182749066;48,17;4172539,08;49806
GÜMÜŞHACIKÖY;11;91,4696435311386;52,73;4362187,3;47690
GÜMÜŞHACIKÖY;12;87,99893164197437;44,1;4585448,33;52108
HAMAMÖZÜ;1;90,53060807656396;44,75;775666,25;8568
HAMAMÖZÜ;2;74,37698462137435;38,845;764149,14;10274
HAMAMÖZÜ;3;71,51112410593466;39,11;739854,09;10346
HAMAMÖZÜ;4;71,74872378213803;41,27;848356,91;11824
HAMAMÖZÜ;5;65,4174588502392;38,86;806793,52;12333
HAMAMÖZÜ;6;60,1739783197832;34,46;777146,93;12915
HAMAMÖZÜ;7;71,50025286680388;43,78;972689,44;13604
HAMAMÖZÜ;8;71,20204712683952;46,055;812842,57;11416
HAMAMÖZÜ;9;71,17003249663829;44,745000000000005;635121,37;8924
HAMAMÖZÜ;10;69,40908054431776;42,08;566169,87;8157
HAMAMÖZÜ;11;74,17205583094182;42,215;568602,98;7666
HAMAMÖZÜ;12;66,12194719471948;32,13;581013,55;8787
