ilce;hesap_sinifi;toplam_kwh;ortalama_kwh;medyan_kwh;benzersiz_musteri;ilce_toplam_kwh;ilce_tuketim_payi_yuzde
GÖYNÜCEK;1 SAYILI CETVELDE YER ALAN KAMU İDARESİ;791109,74;368,6438676607642;20,770000000000003;66;26472614,19;2,988408074555934
GÖYNÜCEK;Belediye;158626,54;191,34685162846804;49,49;23;26472614,19;0,5992099566045918
GÖYNÜCEK;Bina Ort Kul (Asn,Hidr,Kapıcı Dai vb.);21697,84;33,177125382263;26,125;46;26472614,19;0,08196334462576928
GÖYNÜCEK;Büyükbaş-Küçükbaş Hayvancılık;185056,47;179,49221144519885;26,78;29;26472614,19;0,6990487175607495
GÖYNÜCEK;Cemevleri;3212,82;11,811838235294118;5,41;12;26472614,19;0,012136391128359507
GÖYNÜCEK;Kar Amacı Güden Dernek,Vakıf,Müze;5078,58;83,25540983606557;62,63;1;26472614,19;0,019184278377457814
GÖYNÜCEK;Köy İçme Suyu Temini ve Dağıtımı Tesisi;926655,25;710,0806513409962;263,12;37;26472614,19;3,500429701990077
GÖYNÜCEK;Lisansız Üreticiler;46289,01;1928,70875;171,12;1;26472614,19;0,17485621052674738
GÖYNÜCEK;Mesken;14031370,69;54,440442193234986;45,37;6217;26472614,19;53,003343716996156
GÖYNÜCEK;Muhtarlık Hizmet Binaları;8297,42;42,550871794871796;15,47;8;26472614,19;0,03134340998757252
GÖYNÜCEK;Resmi Daire;253207,59;456,2298918918919;78,24;25;26472614,19;0,9564888007760446
GÖYNÜCEK;Resmi Daire Lojman;7634,29;83,8932967032967;94,39;4;26472614,19;0,028838443930043915
GÖYNÜCEK;Resmi Hayır Kurumları,Dernek,Vakıf,Müze;52,910000000000004;2,6455;3,46;4;26472614,19;0,00019986692519391113
GÖYNÜCEK;Resmi SAĞLIK KURULUŞLARI,RESMİ SPOR TES.;37157,21;337,7928181818182;315,31;2;26472614,19;0,14036093954799558
